date_,i_amount,holding_i_amount,holding_i_EPS,holding_i_MA_EPS,holding_i_NOISE,holding_i_PER,holding_i_MA_PER,i_EPS,i_MA_EPS,i_NOISE,PER,MA_PER,EPS_shift,holding_NOISE_change,holding_EARNINGS_change,holding_MA_EARNINGS_change,holding_PER_change,holding_MA_PER_change,rebalancing_EARNINGS_change,rebalancing_MA_EARNINGS_change,rebalancing_NOISE_change,rebalancing_PER_change,rebalancing_noise_change
2002-11-30,99.7,99.7,0,0,,,,4.630825043,4.759935429,1.027612031,21.52964085,20.95113739,,,fd,,,,pe,inf,,,
2002-12-31,93.91373414,93.91373414,4.197757977,4.148450978,1.009282569,21.07988957,20.8860137,4.562632973,4.507684241,0.983001951,20.58323225,20.93915706,4.630825043,-0.017836947,-0.093518339,-0.128464863,-0.020889865,-0.003108361,0.086921399,0.07383138,-0.02603891,0.002544447,0.013090019
2003-01-31,91.24849064,91.24849064,4.639255139,4.446235175,0.956914474,19.11344257,19.97403435,4.778229326,4.580077075,0.957054399,19.09671647,19.95363742,4.562632973,-0.026538582,0.01679341,-0.01363207,-0.071407137,-0.046091765,0.029956142,-0.012755941,0.000146225,-0.001021172,0.042712083
2003-02-28,89.84815906,89.84815906,4.75527842,4.770198759,1.005597192,18.60718629,18.50361799,4.831676302,4.847030658,1.004690984,18.59564951,18.50882491,4.778229326,0.050721038,-0.004803224,0.041510586,-0.025634259,-0.072669428,0.016065912,0.01929482,-0.000901164,0.0002814,-0.003228908
2003-03-31,90.53637005,90.53637005,4.782930767,4.782342993,1.001025014,19.07696369,19.05742957,4.746839848,4.744577046,1.000704174,19.07297759,19.05955635,4.831676302,-0.003648854,-0.010088742,-0.013345834,0.025883161,0.029640167,-0.007545775,-0.008018874,-0.000320511,0.000111598,0.0004731
2003-04-30,97.80329882,97.80329882,5.35283445,5.517240223,1.028059873,19.74140977,19.2025876,4.987828129,5.139133482,1.027767324,19.60839393,19.07863139,4.746839848,0.027336449,0.127662744,0.162851856,0.035046032,0.007504438,-0.068189353,-0.039922955,-0.000284564,-0.006455183,-0.028266399
2003-05-31,102.9809215,102.9809215,5.331512457,5.507126998,1.029389189,20.34196273,19.76119717,5.059673687,5.223923485,1.028648643,20.35327332,19.78641925,4.987828129,0.001578047,0.068904605,0.071606141,0.037410958,0.035776454,-0.050987177,-0.020179822,-0.000719403,0.001276344,-0.030807355
2003-06-30,104.3925931,104.3925931,5.114088739,5.050316761,0.988285799,20.6951901,20.94049121,5.051328376,4.987723745,0.986350526,20.66636443,20.95235302,5.059673687,-0.039238708,0.010754657,-0.033233014,0.016799105,0.058326468,-0.012272052,-0.024709191,-0.001958212,0.000566453,0.012437139
2003-07-31,106.2545147,106.2545147,5.165766808,5.148449386,0.998928742,20.93927156,20.96172699,5.081214154,5.060901619,0.998263404,20.91124512,20.94762268,5.051328376,0.012752277,0.022655116,0.032224247,0.013205377,0.000447394,-0.016367881,-0.020300024,-0.000666051,-0.00067286,0.003932143
2003-08-31,108.3551904,108.3551904,5.321749578,5.408072777,1.018754339,20.76746777,20.38515761,5.200514571,5.285736082,1.018903132,20.83547482,20.44892607,5.081214154,0.020526582,0.047338179,0.068598677,-0.0068756,-0.026851022,-0.022781043,-0.006767229,0.000146054,0.003128181,-0.016013815
2003-09-30,107.0437585,107.0437585,5.163365544,5.064966695,0.977013003,20.48347629,20.96540806,5.216158693,5.115091408,0.976694344,20.52156861,21.01124957,5.200514571,-0.041112965,-0.007143337,-0.041767009,-0.016894193,0.02525717,0.010224562,-0.009349355,-0.000326156,0.002186531,0.019573916
2003-10-31,113.032691,113.032691,5.523280269,5.581307242,1.010066752,21.61530535,21.39987809,5.28137785,5.334535219,1.009766564,21.40212161,21.19511814,5.216158693,0.034168733,0.058878879,0.091145162,0.053296936,0.018496212,-0.043796876,-0.034172637,-0.000297196,-0.009568276,-0.009624239
2003-11-30,114.0160208,114.0160208,5.414763304,5.459427324,1.008112258,21.24195829,21.0710247,5.368750974,5.413041321,1.008125667,21.23697324,21.06579958,5.28137785,-0.001638305,0.025255806,0.023411994,-0.007483526,-0.005854812,-0.00849757,-0.000318016,1.33E-05,-0.000247977,-0.008179554
2003-12-31,119.8411847,119.8411847,5.757972799,5.91650633,1.02619521,21.87928528,21.3207829,5.473319465,5.623096305,1.026061431,21.89552162,21.33938666,5.368750974,0.0179239,0.072497649,0.093009637,0.03024499,0.012104137,-0.04943638,-0.023424302,-0.000130364,0.000872565,-0.026012078
