factor,direction,category,z_score_weight
Non-Interest Income % Total Revenues,TRUE,Garbage1,1
Total Debt % Common Equity,TRUE,Garbage2,1
Tax Rate,TRUE,Garbage3,1
Price Trend - 13 Weeks,TRUE,Garbage4,1
Market Capitalization - 3 Year Growth,FALSE,Garbage5,1
Long Term Debt % Common Equity,TRUE,Garbage6,1
Net Sales/Revenue Growth - Period,FALSE,Garbage7,1
Benefit & Loss Reserves % Of Total Capital,FALSE,Garbage8,1
Operating Cash/Fixed Charges,TRUE,Garbage9,1
Dividend Payout (% Earnings) - Total Dollar,FALSE,Garbage10,1
