date_,i_amount,holding_i_amount,holding_i_EPS,holding_i_MA_EPS,holding_i_NOISE,holding_i_PER,holding_i_MA_PER,i_EPS,i_MA_EPS,i_NOISE,PER,MA_PER,EPS_shift,holding_NOISE_change,holding_EARNINGS_change,holding_MA_EARNINGS_change,holding_PER_change,holding_MA_PER_change,rebalancing_EARNINGS_change,rebalancing_MA_EARNINGS_change,rebalancing_NOISE_change,rebalancing_PER_change,rebalancing_noise_change
2002-11-30,100,100,10.16111676,10.59911466,1.046534854,9.841437939,9.403831992,10.16111676,10.59911466,1.046534854,9.841437939,9.403831992,,,,,,,0,0.043105291,0,0,-0.043105291
2002-12-31,100.6148965,98.1467219,9.660140237,9.825544452,1.002580006,10.15996864,10.13382332,9.802783094,9.978302362,1.002201984,10.26391133,10.24136002,10.16111676,-0.042000367,-0.049303294,-0.072984417,0.032366277,0.077627006,0.014766127,0.03293556,-0.000377049,0.010611662,-0.018169433
2003-01-31,98.1467219,90.67598161,8.815960514,8.330477425,0.93768674,10.28543418,10.96894489,9.769952609,9.212420224,0.936790319,10.04577257,10.72360844,9.802783094,-0.064373494,-0.100667593,-0.16514081,0.002096944,0.071043774,0.108211929,0.044970677,-0.000955993,-0.022366459,0.063241253
2003-02-28,90.67598161,91.02453664,10.50763715,10.37492093,0.978181071,8.662702692,8.855929588,10.24016335,10.09668858,0.976889875,8.854935075,9.064414832,9.769952609,0.044183583,0.075505437,0.126188415,-0.137676805,-0.174165148,-0.025455181,-0.039109513,-0.001319997,0.023541881,0.013654333
2003-03-31,91.02453664,101.3586884,11.78796745,12.23278824,1.022644688,8.598487302,8.408088753,10.75273292,11.12156387,1.020088458,8.465246675,8.298541769,10.24016335,0.046837227,0.151150333,0.21156438,-0.028961,-0.072406889,-0.087821291,-0.056532526,-0.002499627,-0.013028762,-0.031288765
2003-04-30,101.3586884,115.2491747,12.36783531,12.66210446,1.028077612,9.318459683,9.063965187,10.80548454,11.07616792,1.02945701,9.380300164,9.111891093,10.75273292,0.007831825,0.150203896,0.138518342,0.100790094,0.092235894,-0.126323704,-0.104437628,0.001341726,0.005287521,-0.021886076
2003-05-31,115.2491747,121.1564115,9.542568436,10.15599749,1.060564361,12.69641526,11.97137649,9.051187947,9.633929411,1.060664681,12.73304403,12.004778,10.80548454,0.030217241,-0.116877323,-0.083076605,0.353519082,0.313819093,-0.051493525,0.009574044,9.46E-05,0.002790114,-0.06106757
2003-06-30,121.1564115,126.0611648,9.030569442,8.835640862,0.978616226,13.95938158,14.26440847,8.621724503,8.446577631,0.979906276,14.05245685,14.34061317,9.051187947,-0.077355697,-0.002277989,-0.082862196,0.09631142,0.188227593,-0.045273439,-0.064668326,0.001318239,0.005342297,0.019394887
2003-07-31,126.0611648,129.7760621,9.0825315,9.151760826,1.004102516,14.28853421,14.23015477,8.802812483,8.852023329,1.002563807,14.32055551,14.28393425,8.621724503,0.024692403,0.053447196,0.083487446,0.016799722,-0.007702488,-0.030797473,-0.025379287,-0.001532422,0.003779262,-0.005418186
2003-08-31,129.7760621,133.4940671,9.258608478,9.433596336,1.018954394,14.41837263,14.15016484,9.033818649,9.210963914,1.019525989,14.36558194,14.09045193,8.802812483,0.016348671,0.051778451,0.065699444,0.00683054,-0.009365025,-0.024279008,-0.005145975,0.000560963,-0.004219944,-0.019133033
2003-09-30,133.4940671,144.5153402,9.141650817,9.032397296,0.987800322,15.80845113,16.00369101,8.492941936,8.393625306,0.988137765,15.71823617,15.90692789,9.033818649,-0.031118056,0.011936499,-0.019386312,0.100439313,0.135782662,-0.070961897,-0.081826087,0.00034161,-0.0060463,0.01086419
2003-10-31,144.5153402,147.2668628,8.436799365,8.43522172,1.005871246,17.45529986,17.35341371,8.268900176,8.263544524,1.005520512,17.47697241,17.38102028,8.492941936,0.017946365,-0.006610497,0.004955715,0.110512635,0.09093433,-0.019900816,-0.020535612,-0.000348687,0.001590844,0.000634797
2003-11-30,147.2668628,160.4633,9.412808669,9.553674955,1.011272768,17.04733471,16.85730621,8.619607245,8.749503998,1.011375591,17.08510128,16.89293418,8.268900176,0.005720675,0.138338651,0.156123129,-0.024583073,-0.030131377,-0.084268304,-0.070468305,0.000101677,0.002113503,-0.013799999
2003-12-31,160.4633,164.1793862,9.628960533,9.956336033,1.035925599,17.05058252,16.45927328,9.496655789,9.819392787,1.035924604,16.89682174,16.31086054,8.619607245,0.024273878,0.117099685,0.13793148,-0.002020401,-0.025671141,-0.013740294,0.019777031,-9.61E-07,-0.009016968,-0.033517325
2004-01-31,164.1793862,172.0889399,11.2105781,11.04210904,0.989547553,15.3505857,15.51273171,10.69951962,10.5373425,0.989445547,15.34455677,15.50823773,9.496655789,-0.044768751,0.180476407,0.124520556,-0.091510466,-0.048932356,-0.045587165,-0.060053602,-0.000103083,-0.000289696,0.014466437
